country,overall,country,prev_emergence_pathogens,country,early_detection,country,rapid_response,country,robust_health_sector,country,commitments,country,risk_environment
Vanuatu,26.1,Laos,18.9,Fiji,16.4,Bangladesh,23.1,Timor-Leste,9.7,Timor-Leste,33.9,Tajikistan,38.2
Timor-Leste,26,Syria,18.4,South Sudan,15.9,Guinea,23,Comoros,9.4,Tonga,33.9,Venezuela,38.2
Iraq,25.8,Timor-Leste,18.2,St Kitts and Nevis,15,Syria,23,Djibouti,9.3,Equatorial Guinea,33.5,Congo (Brazzaville),38.1
Fiji,25.7,Burkina Faso,18,Tonga,15,Malta,22.4,Andorra,9.2,Nepal,33.5,Malawi,37.6
Libya,25.7,Central African Republic,18,Vanuatu,15,Niue,21.8,Samoa,9.2,São Tomé and Príncipe,33.5,Togo,37.6
Angola,25.2,Antigua and Barbuda,17.8,Trinidad and Tobago,14.7,Angola,21.7,Libya,9.1,Morocco,32.7,Liberia,37.4
Tonga,25.1,Congo (Brazzaville),17.6,Andorra,14.2,Antigua and Barbuda,21.7,Niue,9.1,Qatar,32.7,Comoros,36.5
Dominica,24,Benin,16.5,Micronesia,14.2,Bulgaria,21.7,Burundi,8.9,South Sudan,32.6,North Korea,35.6
Algeria,23.6,Djibouti,16.3,Samoa,14.1,Haiti,21.1,Barbados,8.5,Andorra,32.4,Uganda,35.5
Congo (Brazzaville),23.6,Somalia,15.8,Algeria,12,Dominica,20.9,Dominica,8.5,Kiribati,32.3,Nigeria,33.7
Djibouti,23.2,Yemen,15.1,Burundi,11.4,San Marino,20.8,Tanzania,8.2,Nauru,32,Cameroon,33.6
Venezuela,23,Liberia,14.3,Dominica,10.7,Malawi,20.7,Guinea,8,Palau,32,Ethiopia,33.6
Burundi,22.8,Guinea-Bissau,14,Cuba,10.5,Seychelles,20.7,Bahamas,7.9,Libya,31,Eritrea,33.2
Eritrea,22.4,Tuvalu,13.1,Cabo Verde,9.3,Gabon,20.6,Yemen,7.6,Tunisia,31,Sudan,33
Palau,21.9,Dominica,11.2,Yemen,9,Niger,20.1,Fiji,7.5,Marshall Islands,30.7,Sierra Leone,32.8
South Sudan,21.7,Monaco,11.1,Cook Islands,8.8,Venezuela,19.7,Tonga,7.5,Samoa,30.7,Madagascar,32.4
Tuvalu,21.6,Niue,11,Palau,8.8,Algeria,19.6,Antigua and Barbuda,7.4,Cook Islands,29.9,Mali,32.1
Nauru,20.8,Cook Islands,10.9,Solomon Islands,8.7,Tuvalu,19.6,Kiribati,7.3,Niue,29.9,Guinea,31.3
Solomon Islands,20.7,Gabon,10.8,Tuvalu,8.7,Iraq,19.5,Marshall Islands,7.2,Iraq,29.5,Syria,29.6
Niue,20.5,Kiribati,10.7,Venezuela,8.7,Yemen,19,São Tomé and Príncipe,7.2,Algeria,29.1,Iraq,29.2
Cook Islands,20.4,Papua New Guinea,10,Congo (Brazzaville),7,Libya,18.9,St Kitts and Nevis,7.1,Mauritius,29.1,Haiti,28.9
Gabon,20,Mauritania,9.9,North Korea,7,São Tomé and Príncipe,18.7,Chad,6.6,Iran,28.7,Niger,28.5
Guinea-Bissau,20,Seychelles,9.8,Sudan,7,Solomon Islands,18.7,Vanuatu,6.6,Tuvalu,28.6,Burundi,28.3
Syria,19.9,Nauru,9.1,Gabon,6.1,Mozambique,18.2,eSwatini (Swaziland),6.5,Somalia,28.5,Guinea-Bissau,24.1
Kiribati,19.2,St Kitts and Nevis,8.7,Equatorial Guinea,4.4,Marshall Islands,18.1,Congo (Brazzaville),6.3,Bahrain,27.8,Chad,23.7
Yemen,18.5,Grenada,8.6,Kiribati,4.4,Guinea-Bissau,17.8,St Lucia,6.3,Fiji,27.4,Yemen,23.5
Marshall Islands,18.2,Solomon Islands,8.4,Marshall Islands,4.4,Equatorial Guinea,17.6,Benin,5.6,North Korea,27.3,Afghanistan,23.3
São Tomé and Príncipe,17.7,Palau,8.2,Nauru,4.4,Cook Islands,17.5,Burkina Faso,5.6,Syria,26.1,Central African Republic,23
North Korea,17.5,São Tomé and Príncipe,8.2,Niue,4.4,Somalia,17.4,Equatorial Guinea,5,Belarus,25.8,South Sudan,22.1
Somalia,16.6,Marshall Islands,7,São Tomé and Príncipe,2.7,Eritrea,16,Guinea-Bissau,4.6,San Marino,25,Congo (Democratic Republic),20.1
Equatorial Guinea,16.2,Equatorial Guinea,1.9,Syria,2.7,North Korea,11.3,Somalia,0.3,Brunei,23.3,Somalia,15.9
